"dec" "attr" "sinc" "intel" "fun" "amb" "shar"
"1" 1 6 9 7 7 6 5
"2" 1 7 8 7 8 5 6
"3" 1 5 8 9 8 5 7
"4" 1 7 6 8 7 6 8
"5" 1 5 6 7 7 6 6
"6" 0 4 9 7 4 6 4
"7" 1 7 6 7 4 6 7
"8" 0 4 9 7 6 5 6
"9" 1 7 6 8 9 8 8
"10" 1 5 6 6 8 10 8
"11" 0 5 7 8 4 6 3
"12" 0 8 5 6 6 9 6
"13" 0 5 8 9 6 3 4
"14" 1 7 9 7 6 5 7
"15" 0 6 8 7 9 7 8
"16" 0 8 7 8 3 6 2
"17" 1 7 5 9 6 7 9
"18" 0 5 8 7 5 9 5
"19" 1 7 6 8 9 4 5
"20" 1 6 7 8 7 9 8
"21" 0 7 9 10 7 8 9
"22" 0 9 7 9 8 9 7
"23" 0 7 9 9 7 9 7
"24" 0 9 7 9 7 9 7
"25" 0 9 10 10 10 10 10
"26" 0 8 10 10 7 9 9
"27" 0 8 9 10 7 7 9
"28" 0 7 9 9 8 9 7
"29" 0 9 9 9 9 9 9
"30" 0 8 7 9 7 9 7
"31" 0 4 10 8 5 8 7
"32" 0 8 7 8 10 7 8
"33" 0 4 7 8 8 6 7
"34" 1 8 10 7 10 7 10
"35" 0 6 9 8 9 8 9
"36" 0 5 10 8 4 8 2
"37" 0 7 10 10 7 10 5
"38" 0 5 9 9 5 9 7
"39" 1 9 8 10 10 7 8
"40" 1 8 9 10 10 8 8
"41" 0 5 8 8 2 2 2
"42" 0 8 6 6 5 5 5
"43" 0 4 6 8 8 6 5
"44" 1 8 5 5 7 7 9
"45" 0 6 7 7 5 4 8
"46" 1 5 6 7 5 7 8
"47" 1 6 6 8 5 5 6
"48" 1 5 5 7 6 7 5
"49" 1 7 5 7 8 7 9
"50" 1 9 6 7 9 6 5
"51" 1 6 9 7 6 7 6
"52" 1 6 9 9 6 8 2
"53" 0 4 7 9 4 3 2
"54" 1 8 6 7 8 2 8
"55" 0 5 4 8 8 4 2
"56" 0 3 7 6 1 1 1
"57" 1 8 8 8 8 3 4
"58" 0 4 8 9 2 8 3
"59" 1 7 6 8 8 6 9
"60" 1 8 9 9 9 10 7
"61" 0 4 8 8 5 7 4
"62" 0 6 6 8 4 9 4
"63" 0 3 6 8 7 8 8
"64" 1 7 8 8 7 7 6
"65" 0 4 7 7 4 8 5
"66" 0 4 8 7 4 5 4
"67" 1 7 7 8 7 7 7
"68" 0 5 7 8 5 9 5
"69" 1 6 6 8 8 8 6
"70" 1 8 6 7 7 8 6
"71" 1 5 8 7 4 7 5
"72" 1 8 7 7 9 6 7
"73" 1 5 8 8 6 7 7
"74" 1 8 6 5 6 6 5
"75" 1 6 8 8 5 6 7
"76" 1 6 8 8 5 6 7
"77" 1 6 7 8 5 7 7
"78" 1 5 6 7 4 5 6
"79" 1 8 8 5 9 8 9
